	cls	score	score_best
replaced	-1	0.05058689500866891	0.05058689500866891
broken	-1	0.02661230671924993	0.02661230671924993
unit	-1	0.022774383514891753	0.022774383514891753
inop	-1	0.019730053513470756	0.019730053513470756
removed	0	0.01960834829915415	0.01960834829915415
remove	0	0.002163433358552713	0.01960834829915415
removal	0	0.00047262934842958316	0.01960834829915415
removing	0	0.000299402124308067	0.01960834829915415
removalinstall	0	0.0001206633378774532	0.01960834829915415
remote	0	0.00012038149730900386	0.01960834829915415
spindle	-1	0.01931664686965771	0.01931664686965771
motor	-1	0.01865252341460244	0.01865252341460244
leak	-1	0.018376244377054967	0.018376244377054967
bar	-1	0.018058151196026367	0.018058151196026367
repaired	1	0.017530051471227874	0.017530051471227874
repair	1	0.003789644359468966	0.017530051471227874
repairs	1	0.0008310518214109148	0.017530051471227874
repaced	1	0.00028637910955887544	0.017530051471227874
repaird	1	0.00010392420578959017	0.017530051471227874
repairedreplaced	1	0.00010378019241732072	0.017530051471227874
repalced	1	0.00010372783254171255	0.017530051471227874
repared	1	8.226688261541075e-05	0.017530051471227874
valve	-1	0.01732995854884574	0.01732995854884574
check	-1	0.016925614821888008	0.016925614821888008
installed	-1	0.01673678654733369	0.01673678654733369
machine	-1	0.016674797177565686	0.016674797177565686
hydraulic	-1	0.016660667425239067	0.016660667425239067
coolant	-1	0.016043752295713573	0.016043752295713573
new	-1	0.014487090802727498	0.014487090802727498
nan	-1	0.014226135192772512	0.014226135192772512
accumulator	2	0.013241875211789343	0.013241875211789343
accumulators	2	0.00459308656296734	0.013241875211789343
accumulatr	2	0.000164661717304481	0.013241875211789343
accumuator	2	0.00016368675098382902	0.013241875211789343
accumlator	2	0.0001636062290074939	0.013241875211789343
accuulator	2	0.0001636062290074939	0.013241875211789343
adjusted	3	0.013064214076534634	0.013064214076534634
adjusting	3	0.0026351335789123174	0.013064214076534634
adjustment	3	0.002455907166208265	0.013064214076534634
adjust	3	0.001636235166874476	0.013064214076534634
adjuster	3	0.0005277781930255679	0.013064214076534634
adjustments	3	0.0004427731799833537	0.013064214076534634
adjudted	3	9.61616331668781e-05	0.013064214076534634
adjusing	3	9.603961176245721e-05	0.013064214076534634
adjusment	3	9.603961176245721e-05	0.013064214076534634
adjusments	3	9.583135944581267e-05	0.013064214076534634
adjustable	3	9.583135944581267e-05	0.013064214076534634
adjusters	3	9.564200197146871e-05	0.013064214076534634
faults	4	0.012823723452880843	0.012823723452880843
fault	4	0.009204844826936573	0.012823723452880843
faulting	4	0.0017837963271131638	0.012823723452880843
faulty	4	0.0008052543534227373	0.012823723452880843
faulted	4	0.0006725699546425918	0.012823723452880843
conveyor	-1	0.012810129927727813	0.012810129927727813
operator	-1	0.012623405520657051	0.012623405520657051
sensor	-1	0.012586278659366882	0.012586278659366882
bearings	-1	0.012290257402150753	0.012290257402150753
