0,2015-01-11,,H27,NaN,NaN,Broken bar feeder chain,Repaired,-1
1,2015-01-14,,H5,NaN,NaN,No power,Replaced pin in pendant and powered machine; Possible short in pendant cable,-1
2,2015-02-27,,QA,NaN,NaN,Smartscope harness broken,Parts ordered / Tech repaired,-1
3,2015-02-27,,H18,NaN,NaN,Check / Charge Accumulators,Where OK,-1
4,2015-02-27,,H23,NaN,NaN,Hyd leak at saw atachment,Replaced seal in saw attachment but still leaking; Reapirs pending with ML,-1
5,2015-02-27,,H24,NaN,NaN,CS1008 setup change over / from ARC1004,Completed / Threading unit rewired,-1
6,2015-02-27,,H27,NaN,NaN,Gears on saw attachment tight and grinding per Alex,Replaced saw attachment with rebuilt unit / Removed attachment rebuilt; Shelf,-1
7,2015-02-27,,H33,NaN,NaN,Check and charge Accumulators,Checked and charged,-1
8,2015-02-27,,H8,NaN,NaN,St# 14 milling spindle repairs,Reapired,-1
9,2015-02-27,,I2,NaN,NaN,Hydraulic leak,Replaced ruptured hydraulic line Side B,-1
10,2015-02-27,,I3,NaN,NaN,Turrets leaking A & B ,Turrets removed and cleaned of chhips,-1
11,2015-02-27,,I5,NaN,NaN,Spindle carrier not indexing / Over Feed,,-1
12,2015-03-02,,A69,NaN,NaN,PO will not open / close,Allen Bradley plunger switch replaced ,-1
13,2015-03-02,,H10,NaN,NaN,Top cross drill leaking hydraulic,Unit swapped with rebuilt cross drill unit,-1
14,2015-03-02,,H20,NaN,NaN,Accumulator check,Checked and charged,-1
15,2015-03-02,,I2,NaN,NaN,Conveyor Jam,Hand cranked to free minor jam,-1
16,2015-03-02,,I6,NaN,NaN,Hydraulic Motor overheat Alarm,Hydraulic pum replaced / Motor was swapped also,-1
17,2015-03-03,,SH,NaN,NaN,Smog Hog leaking,Cleaned cells and exhaust vent,-1
18,2015-03-09,,H14,NaN,NaN,Bar loader tray bent by forktruck,Bent back and replaced screws,-1
19,2015-03-14,,I1,NaN,NaN,Transport dropping parts,Programing adjustments,-1
20,2015-03-14,,I4,NaN,NaN,Chip conveyor INOP,Removed conveyor and belt on 3/17; Returned box to I4 and online w/o belt,-1
21,2015-03-16,,AIM RM 1,NaN,NaN,Vacuum pump INOP,Replaced pump,-1
22,2015-03-16,,H10,NaN,NaN,Top cross drill unit bearings are bad,Roland rebuilt unit on shelf / Gio and Steve installed in H10,-1
23,2015-03-16,,H11,NaN,NaN,Brush unit stuck forward,Prox snsor for depth adjusted / Plug and cable replaced,-1
24,2015-03-16,,H3,NaN,NaN,Saw attachment; short saw life,Replaced saw attachment with backup attachment; removed unit rebuilt and stored,-1
25,2015-03-16,,H3,NaN,NaN,Chip conveyor INOP,Ran back and forth; Cleared,-1
26,2015-03-16,,Sinico,NaN,NaN,Unit 2 chamfer head belt broken from 3S collision,Replaced drive belt,-1
27,2015-03-17,,ES5,NaN,NaN,Adjusting screw broken pos 2 in tool head,,-1
28,2015-03-17,,H14,NaN,NaN,Saw attachment; short saw life,Replaced saw attachment with backup attachment; removed unit to be rebuilt,-1
29,2015-03-17,,H19,NaN,NaN,St#11 spindle keeps losing drills,Wrong drive pulleys on spindle; Correct pulleys and belt replaced,-1
30,2015-03-17,,H8,NaN,NaN,St# 6V mill not running,Replaced GR motor; broken drive inside gearbox,-1
31,2015-03-17,,I2,NaN,NaN,Side B hydraulic leak,Replaced hydraulic hose / base drained with new collant added,-1
32,2015-03-17,,T105,NaN,NaN,Machine will not stay running,Gearbox cleaned out and prox sensor replaced,-1
33,2015-03-18,,H14,NaN,NaN,Inverter guard broken,Welded ,-1
34,2015-03-18,,H14,NaN,NaN,Accumulator check / dropping parts at saw,Checked accumulator; OK at 30bar,-1
35,2015-03-18,,H29,NaN,NaN,St#12 HSK tool clamp loose,Replaced HSK clamp screw,-1
36,2015-03-18,,H3,NaN,NaN,Losing parts at exit chute,Operator adjusted chute; reported ok,-1
37,2015-03-18,,I1,NaN,NaN,Adjust jammed chip stripper on conveyor,Adjusted chip conveyor belt tension and cleared chips from stripper,-1
38,2015-03-18,,I18,NaN,NaN,Alarm  765053 bar clamping pressure still present SP#6,Cleared on 3/19,-1
39,2015-03-18,,I5,NaN,NaN,Hydraulic leak in spindle carrier,Removed and replaced broken bolts in spindle #4 horseshoe,-1
40,2015-03-18,,TK4,NaN,NaN,Sensors on spindle INOP,Sensors and cables replaced with Tony Lobo assist,-1
41,2015-03-19,,H11,NaN,NaN,St#13 motor smoking,JPM provided motor / Luis Vargas installed,-1
42,2015-03-19,,H12,NaN,NaN,Hydraulic leak at St#11 valve plate,Removed valve plate and replaced O-Rings,-1
43,2015-03-19,,H23,NaN,NaN,Saw unit will INOP,Prox wiring replaced,-1
44,2015-03-19,,H8,NaN,NaN,Remove Bio-Hyd from PP; replace with ISO 46 hyd oil,JPM swapped.,-1
45,2015-03-19,,I19,NaN,NaN,Breaker tripping / elect burn smell,Breaker reset; Norm monitoring,-1
46,2015-03-19,,RM227,NaN,NaN,Stripped screw head in regulating wheel,Removed screw by drilling it out,-1
47,2015-03-19,,TK3,NaN,NaN,Conveyor sensor alarm??,Pete Carello corrected,-1
48,2015-03-19,,TK4,NaN,NaN,HP coolant pressure at 75psi,Bad gauge / Low pressure lines cleaned ou,-1
49,2015-03-20,,EWAG,NaN,NaN,Meauring arm slamming / pneumatic shock absorber?,Air leak in pneumatic actuator repaired.,-1
50,2015-03-20,,H11,NaN,NaN,Stuck in 1/2 table w numerous faults,Brushing unit motor wiring causing issues. Replaced motor starter,-1
51,2015-03-20,,H11,NaN,NaN,Pendant screen blank / Multiple faults,,-1
52,2015-03-21,,I3,NaN,NaN,Broken wire on AIM,Repaired wire,-1
53,2015-03-21,,SC5,NaN,NaN,No Power to machine,,-1
54,2015-03-23,,H11,NaN,NaN,Electrical failure,Tony resolved electrical; no details,-1
55,2015-03-23,,H23,NaN,NaN,Saw will not fire,Prox adjusted,-1
56,2015-03-23,,H24,NaN,NaN,6mm hex clamping screw broken / ,Removed and replaced broken clamping screw,-1
57,2015-03-23,,H26,NaN,NaN,Brushing unit adjustment broken,Replaced adjusting threaded rod,-1
58,2015-03-23,,H28,NaN,NaN,Threading unit chattering,Replaced motor starter,-1
59,2015-03-23,,H29,NaN,NaN,Breaker tripping    ,Replaced motor at St#11,-1
60,2015-03-23,,H33,NaN,NaN,Brushing unit stuck forward at 1445,Replaced motor contactor M14,-1
61,2015-03-23,,H4,NaN,NaN,Loose wire in control box,Repaired wiring,-1
62,2015-03-23,,I1,NaN,NaN,Over travel alarm,Reboot machine and manually referrence,-1
63,2015-03-23,,I19,NaN,NaN,Broken air line,Replaced air line,-1
64,2015-03-23,,I19,NaN,NaN,M0.1 pump active but no oil flow,Drum filter clogged; vacuum cleaned and online,-1
65,2015-03-23,,I2,NaN,NaN,Chip conveyor INOP,Cleared large nest of chips from conveyor,-1
66,2015-03-23,,I20,NaN,NaN,Stop switch S120.2 not releasing,Switch replaced,-1
67,2015-03-23,,I3,NaN,NaN,Main power switch broken; will not shift ON or OFF,Replaced switch,-1
68,2015-03-23,,I4,NaN,NaN,Door on side B transfer; broken screws,Retapped for new screws,-1
69,2015-03-23,,I6,NaN,NaN,CPU/PLC alarms after brown out,Reboot machine,-1
70,2015-03-23,,T105,NaN,NaN,Will not start after power interruption,Reset,-1
